"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burkina Faso","BFA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16","1.3","1.22","1.51","1.68","1.83","1.94","2.11","2.16","2.34","2.78","2.91","2.89","2.86","2.83","3.08","2.82","",
"Bangladesh","BGD","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.12","7.07","7.1","7.13","7.18","7.4","7.66","7.87","8.08","8.25","8.45","8.61","8.71","8.82","8.94","9","8.99","",
"Bulgaria","BGR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.93","85.44","84.53","88.37","92.34","92.26","91.9","60.02","61.36","60.78","60.4","60.32","48.52","51.01","52.8","57.89","60.25","",
"Bahrain","BHR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","41.33","39.31","38.92","38.17","37.83","36.77","36.12","31.99","31.76","27.85","28.1","24.38","24.65","",
"Bosnia and Herzegovina","BIH","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.49","28.29","31.81","33.91","32.29","31.51","32.44","32.24","33.19","34.35","31.65","30.3","30.47","30.53","30.01","29.92","",
"Belarus","BLR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.096447","5.799036","5.567515","4.875529","4.390215","3.667875","3.192415","2.098577","1.707225","1.562742","1.203652","0.8921416","0.8566219","0.7840065","","","","",
"Belize","BLZ","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.64","25.38","23.35","26.26","26.88","25.94","25.04","24.18","23.38","23.93","23.17","20.81","20.22","19.64","19.1","18.59","18.12","",
"Bermuda","BMU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39","4.98","5.61","15.43","16.01","18.12","20.28","23.9","25.41","28.78","32.13","34.49","38.44","40.69","40.61","44.85","68.81","",
"Brazil","BRA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.83","18.73","18.56","18.62","19.19","19.19","18.67","19.19","20.41","20.53","21.24","20.85","20.34","19.51","18.98","18.7","17.88","",
"Barbados","BRB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.01","19.33","19.21","18.65","18.55","19.75","20.5","19.09","20.7","15.87","16.21","16.97","16.88","15.54","14.63","",
"Brunei Darussalam","BRN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.98","25.81","23.1","22.68","23","23.68","23.28","23.17","22.75","23.02","20.36","20.95","19.72","18.48","17.26","17.6","","",
"Bhutan","BTN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.45","14.01","13.66","13.35","13.5","13.65","15.26","17.4","13.35","17.19","16.62","16.46","16.49","18.36","18.39","19.31","","",
"Botswana","BWA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6.65","7","7.98","8.9","8.85","9.21","8.84","8.96","9.24","9.49","8.84","9.08","8.37","9.29","9.37","9","",
"Central African Republic","CAF","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","0.31","0.3","0.51","0.54","0.78","0.9","0.94","0.98","1.06","0.98","0.69","0.68","0.71","","","","",
"Canada","CAN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.58","24.67","24.62","24.19","24.06","24.19","24.31","23.32","23.14","22.84","22.25","20.75","20.13","19.73","20.17","",
"Central Europe and the Baltics","CEB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.92","26.15","27.785","29.82","32.75","32.94","32.19","32.57","26.63","26.89","27.98","28.26","28.02","26.68","25.58","23.66","23.32","",
"Switzerland","CHE","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.36","56.8","55.62","55.28","53.95","52.68","51.77","50.25","48.88","47.45","46.03","44.35","42.46","40.83","39.52","38.36","37.03","",
