"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5180.0612024486","4616.94485412872","2735.78653877911","2554.17216716616","2757.23180984117","3008.23332068624","3234.06962110572","3378.94443074421","3654.05296834871","3798.67375035142","4048.24990407114","4464.38583116475","5081.51855787396","5823.716092618","6472.14199852835","7419.87119017403","8464.48572583781","9708.41539720344","10467.5298136022","9052.38354922249","9286.19732701296","9725.27822960819","10397.654656654","10691.2767474722","11019.838784895","11321.3325403745","11303.0678498177","12115.1392902637","12715.1089539751","13653.7633812861","12619.8921540229","13317.2316143643",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15458.6932373413","15588.2609854204","15500.7285277918","15992.1549078449","16698.4021352014","15628.3236492173","16303.4252247292","16828.3479002379","17260.5651360692","17551.7347770533","18313.6293472963","17207.913971526","17143.5878040543","17953.0532800876","18743.5730615554","19683.8416472075","21849.2217557157","23511.066657261","23131.9308685091","20048.022131616","18206.0165312204","17605.4389676199","17966.3387012831","17643.1302710941","18104.6837879971","18594.5455550999","19419.6326457349","19840.2840357027","21017.2644997656","21850.1334122252","17293.3023063296","18057.2912924775",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31016.4153287633","30502.6058664625","30259.4180685172","31173.4737342427","32073.0266710913","32902.7697347336","33724.9720103964","34653.1912530842","35876.2233714323","37219.6411141269","38217.4494444102","38474.1533319445","39533.2234635712","40262.9140616873","41472.5387935104","42222.2727240053","42738.4657866435","44072.8840257292","44743.6598944809","44649.1607704338","44914.9812132027","45389.1701737895","46350.9199520719","46744.6325424082","47232.875386831","47569.2946015026","48116.0310826944","48398.5497014956","49029.1057110348","49309.1123989414","48678.6824368027","49308.5137908219",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37494.5604129864","38399.6740222967","38774.4902606316","38658.6497800224","39435.210024783","40425.3937190819","41319.3749974645","42136.6622802741","43597.8900710725","45060.6187543953","46469.8610601036","46878.9162398602","47419.2784117541","47633.1140009916","48633.2718157639","49387.0278641202","50840.6944621561","52565.0739687956","53166.0542015286","51030.7246778186","51843.4283275453","53179.1474647432","53297.4447850919","52997.7538166712","52932.9001116518","52873.8586545571","53345.7415259818","54172.9867888254","55258.37103291","55833.559903835","51857.6923217339","53944.5255840933",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7616.91027506113","7463.62885967495","5690.18091817449","4309.92146212108","3414.51120535595","2976.99522138353","2985.3371754857","3128.1641351317","3408.4753810397","3628.71688349932","3998.52048313078","4360.45944142426","4736.56437632615","5180.68645770222","5610.76313748494","7106.59790726031","9453.94185980601","11684.1915431474","12672.3762154835","13565.8550922117","14082.2381481679","13913.8366943419","14027.468790254","14651.693970776","14867.9437345406","14852.6117080302","14232.1926180142","14121.4069355591","14209.5931685619","14442.0408668016","13726.7696576885","14421.0462799014",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184.84203206389","1215.88721471084","1202.10632136641","1105.2287110463","1044.71609219075","947.822231216784","861.482898889964","839.196864585176","870.04382051638","850.046950706878","828.000479022887","826.028960203496","839.777919683108","804.884232258537","817.461177288639","798.704845349293","815.053647458926","815.908212912447","827.792333559548","831.5648434733","846.169111935035","852.502576058002","862.715651206171","877.272857213074","886.2352957813","825.20557393233","794.60434044461","773.572858670972","761.524142770736","751.44340469229","731.064073644609","722.046273490697",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35506.9265146541","36023.6842838954","36426.9931547081","35935.9573927225","36981.4489459975","37784.149887365","38208.7186734905","39562.3729801955","40252.4689057051","41583.0973922951","43024.1399101042","43347.8892099274","43890.5981100134","44160.9114292454","45540.4669120107","46342.1866093314","47212.577772728","48590.4005353331","48423.515483961","47064.7900198376","47972.558838523","48154.8711461252","48210.9246578014","48204.5856992867","48748.6205926039","49456.3985817783","49829.9273887741","50442.2705419624","51139.0676132102","51937.4236090476","48752.501590852","51601.8877741089",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2175.20857624714","2191.8406066437","2179.50722950521","2227.35320010502","2195.82205208296","2253.11952564857","2277.76181597777","2336.5458721514","2358.28012691892","2411.99156352498","2478.21823775079","2532.63405180985","2570.78730365107","2579.69780730152","2614.21245549017","2581.64225152969","2606.8174487853","2685.13026141894","2738.19438467667","2724.08476657468","2704.7054840378","2707.86970043194","2759.84825577488","2876.90390883027","2975.85478222107","2945.97022066349","2961.4404159762","3044.51715620319","3160.7806702321","3287.30953781986","3323.14445067303","3449.19948267432",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017.5400508336","1080.51521119654","1054.253612387","1061.58686401122","1046.60968094107","1076.46866323079","1162.45142237182","1201.95097754407","1254.13713889504","1309.40259006182","1296.74796014307","1343.54354257612","1362.28017545833","1426.61671204758","1447.50365577282","1527.02215854176","1574.73012209824","1590.83027032364","1632.94858853561","1631.19382841923","1716.35832279765","1775.77917858267","1834.54330775192","1883.79653969539","1907.94921260654","1925.33207544524","1981.429813531","2044.38698676758","2117.81390140299","2175.50467955719","2155.76935992649","2240.99219305939",
